dy, dz, xi, yi, zi, yawi, xi+1, yi+1, zi+1, yawi+1, vi
-128,-67,-177.085,-57.153,-9.117,-260,-184.552,-47.808,-10.477,50,7
36,34,-184.552,-47.808,-10.477,50,-181.177,-38.283,-10.13,20,5
-58,50,-181.177,-38.283,-10.13,20,-174.184,-28.309,-14.483,0,5
59,24,-174.184,-28.309,-14.483,0,-164.798,-26.768,-15.135,-10,7
-24,32,-164.798,-26.768,-15.135,-10,-145.442,-26.017,-17.639,-30,6
0,0,-145.442,-26.017,-17.639,-30,-132.622,-30.792,-18.016,-30,8
-3,57,-132.622,-30.792,-18.016,-30,-120.058,-38.161,-17.075,-30,7
0,0,-120.058,-38.161,-17.075,-30,-106.878,-45.85,-15.021,-30,7
0,0,-106.878,-45.85,-15.021,-30,-90.609,-53.617,-13.8,0,7
87,-58,-90.609,-53.617,-13.8,0,-77.19,-58.982,-14.151,0,8
41,70,-77.19,-58.982,-14.151,0,-63.828,-59.714,-12.712,0,7
0,0,-63.828,-59.714,-12.712,0,-49.001,-59.109,-13.009,-30,7
0,0,-49.001,-59.109,-13.009,-30,-34.368,-58.394,-13.253,-80,7
0,0,-34.368,-58.394,-13.253,-80,-24.478,-70.623,-13.334,-90,7
0,0,-24.478,-70.623,-13.334,-90,-23.598,-84.535,-14.338,-90,7
-27,55,-23.598,-84.535,-14.338,-90,-24.382,-107.057,-14.429,-140,7
0,0,-24.382,-107.057,-14.429,-140,-30.484,-123.001,-14.013,-180,9
0,0,-30.484,-123.001,-14.013,-180,-42.926,-131.1,-14.635,-180,8
0,0,-42.926,-131.1,-14.635,-180,-64.098,-131.433,-13.67,-190,7
0,0,-64.098,-131.433,-13.67,-190,-79.846,-128.758,-12.772,-240,8
0,0,-79.846,-128.758,-12.772,-240,-93.297,-119.977,-12.416,90,7
0,0,-93.297,-119.977,-12.416,90,-99.066,-105.994,-12.574,90,7
0,0,-99.066,-105.994,-12.574,90,-100.817,-91.792,-14.327,90,7
0,0,-100.817,-91.792,-14.327,90,-101.153,-76.026,-14.118,90,7
0,0,-101.153,-76.026,-14.118,90,-100.666,-62.577,-16.224,90,7
-14,52,-100.666,-62.577,-16.224,90,-99.433,-45.415,-21.034,90,7
0,0,-99.433,-45.415,-21.034,90,-99.74,-30.029,-20.629,90,8
0,0,-99.74,-30.029,-20.629,90,-100.643,-11.301,-20.963,70,7
0,0,-100.643,-11.301,-20.963,70,-96.418,10.313,-23.548,60,8
0,0,-96.418,10.313,-23.548,60,-87.409,23.907,-24.485,40,9
0,0,-87.409,23.907,-24.485,40,-78.424,39.066,-23.173,30,7
0,0,-78.424,39.066,-23.173,30,-65.12,44.893,-20.709,30,8
0,0,-65.12,44.893,-20.709,30,-55.268,50.257,-19.198,30,7
0,0,-55.268,50.257,-19.198,30,-44.777,56.225,-17.167,10,6
0,0,-44.777,56.225,-17.167,10,-34.734,62.749,-14.804,0,7
0,0,-34.734,62.749,-14.804,0,-19.632,66.321,-13.087,-20,7
0,0,-19.632,66.321,-13.087,-20,-6.953,64.92,-11.25,-50.001,7
0,0,-6.953,64.92,-11.25,-50.001,2.008,60.127,-6.876,-60,6
0,0,2.008,60.127,-6.876,-60,8.09,53.105,-7.258,-80,6
11,43,8.09,53.105,-7.258,-80,13.481,43.077,-5.77,-90,6
24,71,13.481,43.077,-5.77,-90,14.786,35.822,-4.142,-90,6
0,0,14.786,35.822,-4.142,-90,14.518,22.874,-3.451,-100,6
1,52,14.518,22.874,-3.451,-100,12.968,15.027,-4.176,-130,7
-23,39,12.968,15.027,-4.176,-130,10.848,5.369,-3.153,-160,6
39,58,10.848,5.369,-3.153,-160,5.865,1.426,0.454,-180,4
0,0,5.865,1.426,0.454,-180,0,0,-1,-180,6
0,0,-20.495,-0.842,-2.843,-210,-32.858,0.53,-4.79,-230,9
13,49,-32.858,0.53,-4.79,-230,-44.815,6.191,-4.431,-250,6
46,68,-44.815,6.191,-4.431,-250,-54.472,17.29,-5.972,-250,7
0,0,-54.472,17.29,-5.972,-250,-57.669,30.748,-5.597,-250,7
-9,60,-57.669,30.748,-5.597,-250,-62.3,43.093,-8.094,-230,7
9,42,-62.3,43.093,-8.094,-230,-67.137,56.229,-10.485,-230,7
10,44,-67.137,56.229,-10.485,-230,-77.511,66.694,-12.88,-220,7
0,0,-77.511,66.694,-12.88,-220,-86.038,78.191,-14.338,-210,7
37,46,-86.038,78.191,-14.338,-210,-95.026,85.46,-18.466,-200,7
-18,15,-95.026,85.46,-18.466,-200,-106.113,90.791,-19.968,-190,6
24,50,-106.113,90.791,-19.968,-190,-117.245,96.068,-20.427,-180,6
-36,62,-117.245,96.068,-20.427,-180,-126.056,97.673,-20.136,-150,6
16,66,-126.056,97.673,-20.136,-150,-138.05,96.752,-19.78,-140,4
-18,59,-138.05,96.752,-19.78,-140,-149.216,91.201,-19.016,-120,6
0,0,-149.216,91.201,-19.016,-120,-155.836,82.202,-14.596,-100,6
0,0,-155.836,82.202,-14.596,-100,-161.79,69.981,-14.041,-70,6
-33,52,-161.79,69.981,-14.041,-70,-156.392,55.61,-11.105,-70,6
0,0,-156.392,55.61,-11.105,-70,-145.501,42.799,-11.637,-79.999,7
0,0,-145.501,42.799,-11.637,-79.999,-137.997,24.077,-10.353,-90,7
0,0,-137.997,24.077,-10.353,-90,-136.084,4.058,-9.679,-110,8
0,0,-136.084,4.058,-9.679,-110,-138.161,-8.567,-11.558,-110,8
-10,50,-138.161,-8.567,-11.558,-110,-142.939,-22.806,-11.292,-110,7
0,0,-142.939,-22.806,-11.292,-110,-146.926,-38.622,-11.702,-140,7
0,0,-146.926,-38.622,-11.702,-140,-151.236,-49.858,-11.4,-170,7
8,68,-151.236,-49.858,-11.4,-170,-161.863,-59.448,-10.884,-210,6
33,68,-161.863,-59.448,-10.884,-210,-177.852,-56.445,-11.386,-260,7
0,0,-177.852,-56.445,-11.386,-260,-182.247,-49.196,-10.309,50,7
-60,67,-182.247,-49.196,-10.309,50,-182.183,-37.899,-12.754,20,4
32,12,-182.183,-37.899,-12.754,20,-175.968,-29.429,-14.295,0,5
84,-17,-175.968,-29.429,-14.295,0,-165.644,-24.898,-15.668,-10,6
-8,45,-165.644,-24.898,-15.668,-10,-146.717,-24.322,-17.288,-30,6
0,0,-146.717,-24.322,-17.288,-30,-131.143,-31.988,-16.122,-30,8
0,0,-131.143,-31.988,-16.122,-30,-119.805,-38.998,-16.774,-30,8
